gene_id,gene_name
ENSG00000285458.1,AC093827.5
ENSG00000249001.5,AC093895.1
ENSG00000286978.1,AC107067.1
ENSG00000270720.1,AC104785.1
ENSG00000274238.1,AC097478.1
ENSG00000248984.1,AC004054.1
ENSG00000249049.1,AC074124.1
ENSG00000246541.2,AC096746.1
ENSG00000271474.1,AC106881.1
ENSG00000214559.3,AC019077.1
ENSG00000251523.1,AC108159.1
ENSG00000260641.1,AC114811.2
ENSG00000263923.1,AC019131.1
ENSG00000272777.1,AC019131.2
ENSG00000248676.1,AC083902.1
ENSG00000250403.1,AC097460.1
ENSG00000248161.5,AC098487.1
ENSG00000251288.2,AC018797.2
ENSG00000251577.5,AC105460.2
ENSG00000251170.6,AC004052.1
ENSG00000248242.1,AC004053.1
ENSG00000248373.6,AC096577.1
ENSG00000251259.1,AC004069.1
ENSG00000249635.1,AC109361.1
ENSG00000249604.1,AC096564.1
ENSG00000285330.1,AC126283.1
ENSG00000249815.2,AC004704.1
ENSG00000260526.1,AC109347.1
ENSG00000272567.1,AC109347.2
ENSG00000250046.3,AC106864.1
ENSG00000249373.2,AC093879.1
ENSG00000260091.1,AC093752.2
ENSG00000261501.1,AC079341.1
ENSG00000273007.2,AC021205.3
ENSG00000249125.2,AC093821.1
ENSG00000249837.1,AC121154.1
ENSG00000250945.1,AC096773.1
ENSG00000248491.6,AC093772.1
ENSG00000261668.1,AC093591.2
ENSG00000248802.1,AC078850.2
ENSG00000251555.1,AC096711.2
ENSG00000251488.1,AC115622.1
ENSG00000249513.2,AC110751.1
ENSG00000250241.6,AC105383.1
ENSG00000251388.1,AC079380.1
ENSG00000248434.1,AC107463.1
ENSG00000251567.5,AC018680.1
ENSG00000250777.2,AC131956.2
ENSG00000250501.3,AC093766.1
ENSG00000250195.1,AC109927.1
ENSG00000248863.2,AC097376.2
ENSG00000273472.1,AC096733.2
ENSG00000249806.1,AC139720.1
ENSG00000250326.2,AC104596.1
ENSG00000250969.1,AC097658.2
ENSG00000250406.2,AC109811.1
ENSG00000251298.1,AC093835.1
ENSG00000250354.1,AC069272.1
ENSG00000250357.1,AC108935.1
ENSG00000249752.1,AC108156.1
ENSG00000250905.1,AC093893.1
ENSG00000270681.1,AC095055.1
ENSG00000270265.1,AC104819.3
ENSG00000251455.1,AC092611.1
ENSG00000249818.2,AC097375.2
ENSG00000248991.1,AC097375.1
ENSG00000250706.1,AC079340.1
ENSG00000251377.2,AC079340.2
ENSG00000270302.1,AC080078.1
ENSG00000270883.1,AC080078.2
ENSG00000249309.1,AC020703.1
ENSG00000280241.4,AC079298.3
ENSG00000250910.8,AC097467.3
ENSG00000250538.6,AC104407.1
ENSG00000251244.2,AC107208.1
ENSG00000249275.1,AC093817.1
ENSG00000250604.1,AC098679.1
ENSG00000249901.1,AC121161.2
ENSG00000249419.1,AC023136.1
ENSG00000250027.1,AC022272.1
ENSG00000273449.1,AC093788.1
ENSG00000249675.1,AC097487.1
ENSG00000248601.1,AC116634.1
ENSG00000249609.1,AC080188.1
ENSG00000251171.1,AC096741.1
ENSG00000249955.2,AC084866.1
ENSG00000245213.7,AC105285.1
ENSG00000248774.1,AC097534.1
ENSG00000251216.2,AC106895.2
ENSG00000249875.1,AC116616.1
ENSG00000250431.1,AC105914.2
ENSG00000248551.1,AC095050.1
ENSG00000249106.1,AC097537.1
ENSG00000248388.5,AC093801.1
ENSG00000249458.1,AC092673.1
ENSG00000249008.1,AC097518.1
ENSG00000249084.1,AC027627.1
ENSG00000250131.2,AC078881.1
ENSG00000250993.1,AC020551.1
ENSG00000249883.1,AC104803.1
ENSG00000248816.1,AC079226.2
ENSG00000272646.1,AC079766.1
ENSG00000232648.4,AC107214.1
ENSG00000272744.1,AC107214.2
ENSG00000251147.1,AC084871.2
ENSG00000250410.1,AC112722.1
ENSG00000249679.2,AC106897.1
ENSG00000233110.1,AC093797.1
ENSG00000235902.1,AC108472.1
ENSG00000272297.2,AC018709.1
ENSG00000249642.2,AC097521.1
ENSG00000249269.2,AC093909.2
ENSG00000250626.3,AC093909.4
ENSG00000248925.1,AC021087.1
ENSG00000249650.1,AC106772.1
ENSG00000251532.1,AC091849.2
ENSG00000271119.1,AC026412.3
ENSG00000249731.1,AC126768.2
ENSG00000249994.1,AC025187.1
ENSG00000248973.3,AC106799.2
ENSG00000250866.1,AC022424.1
ENSG00000261037.1,AC010266.2
ENSG00000250761.2,AC093305.1
ENSG00000260981.1,AC091932.1
ENSG00000250619.1,AC021088.1
