gene_name,amyloid,gpath,tangles,cogdx,n_traits_DE
NDRG1,TRUE,TRUE,TRUE,TRUE,4
EEF1D,TRUE,TRUE,TRUE,TRUE,4
TIGD5,TRUE,TRUE,TRUE,TRUE,4
PUF60,TRUE,TRUE,TRUE,TRUE,4
RPL8,TRUE,TRUE,TRUE,TRUE,4
PTPRD,TRUE,TRUE,TRUE,TRUE,4
RPS6,TRUE,TRUE,TRUE,TRUE,4
DCTN3,TRUE,TRUE,TRUE,TRUE,4
OSTF1,TRUE,TRUE,TRUE,TRUE,4
IDNK,TRUE,TRUE,TRUE,TRUE,4
HNRNPK,TRUE,TRUE,TRUE,TRUE,4
BICD2,TRUE,TRUE,TRUE,TRUE,4
HABP4,TRUE,TRUE,TRUE,TRUE,4
SEC61B,TRUE,TRUE,TRUE,TRUE,4
SLC44A1,TRUE,TRUE,TRUE,TRUE,4
KLF4,TRUE,TRUE,TRUE,TRUE,4
ZNF483,TRUE,TRUE,TRUE,TRUE,4
ATP6V1G1,TRUE,TRUE,TRUE,TRUE,4
CDK5RAP2,TRUE,TRUE,TRUE,TRUE,4
STRBP,TRUE,TRUE,TRUE,TRUE,4
RPL35,TRUE,TRUE,TRUE,TRUE,4
RPL7A,TRUE,TRUE,TRUE,TRUE,4
SNHG7,TRUE,TRUE,TRUE,TRUE,4
PHPT1,TRUE,TRUE,TRUE,TRUE,4
EDF1,TRUE,TRUE,TRUE,TRUE,4
FBXW5,TRUE,TRUE,TRUE,TRUE,4
PAXX,TRUE,TRUE,TRUE,TRUE,4
TUBB4B,TRUE,TRUE,TRUE,TRUE,4
PSMD13,TRUE,TRUE,TRUE,TRUE,4
IFITM3,TRUE,FALSE,TRUE,FALSE,2
B4GALNT4,TRUE,TRUE,TRUE,TRUE,4
HRAS,TRUE,TRUE,TRUE,FALSE,3
GATD1,TRUE,TRUE,TRUE,TRUE,4
CEND1,TRUE,TRUE,TRUE,TRUE,4
RPLP2,TRUE,TRUE,TRUE,TRUE,4
POLR2L,TRUE,TRUE,TRUE,TRUE,4
MOB2,TRUE,TRUE,TRUE,TRUE,4
TSSC4,TRUE,TRUE,TRUE,TRUE,4
APBB1,TRUE,TRUE,TRUE,TRUE,4
RIC3,TRUE,TRUE,TRUE,TRUE,4
RPL27A,TRUE,TRUE,TRUE,TRUE,4
DENND5A,TRUE,TRUE,TRUE,TRUE,4
TMEM41B,TRUE,TRUE,TRUE,TRUE,4
GALNT18,TRUE,TRUE,TRUE,TRUE,4
DKK3,TRUE,TRUE,TRUE,TRUE,4
MICAL2,TRUE,TRUE,TRUE,TRUE,4
PSMA1,TRUE,TRUE,TRUE,TRUE,4
C11orf58,TRUE,TRUE,TRUE,TRUE,4
RPS13,TRUE,TRUE,TRUE,TRUE,4
LDHA,TRUE,TRUE,TRUE,TRUE,4
DNAJC24,TRUE,TRUE,TRUE,TRUE,4
IMMP1L,TRUE,TRUE,TRUE,TRUE,4
ELP4,TRUE,TRUE,TRUE,TRUE,4
